epoch,train_loss,val_loss,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr,METEOR,is_best,learning_rate
36,1.9896770067836926,2.2068798661231996,0.32924278929770645,0.1823359810970715,0.1054735114776497,0.06600437598657542,0.3232582051956587,0.2653881562221881,0,0.00010829786915358519
37,1.9769751027874325,2.209758126735687,0.3336478872191384,0.18435514887462648,0.10498431848936501,0.06525569185579844,0.34321092253452,0.2635294113568534,0,0.00010713330939139944
38,1.9744770617588707,2.2137335777282714,0.33405188163825433,0.1847041521952436,0.10631458318879278,0.06675842202167147,0.3407926438614239,0.2675000395475174,0,0.00010595068211205095
39,1.9660676471565082,2.2155160307884216,0.33121841168279587,0.1823963956520246,0.10459527406006905,0.06560205969013415,0.3712747543322889,0.26160234988841236,1,0.00010475123442654332
40,1.963053514128146,2.210458219051361,0.3395393508012626,0.18737782595184618,0.107253241677624,0.06692419265052514,0.33802871722452726,0.2734376682457455,0,0.00010353623118343236
41,1.9484443975531536,2.214363658428192,0.3339514930015164,0.18434753671662235,0.10790873006100267,0.06886611042895406,0.3629143102617971,0.26704741634183593,0,0.00010230695363501135
42,1.9423579171947811,2.2151156663894653,0.32643788647158545,0.18028942887890184,0.10420979955720416,0.06538951281115131,0.32870374364383037,0.2640514396296303,0,0.00010106469808619708
43,1.941278206265491,2.2118517398834228,0.33301731430563025,0.18098898012219317,0.10316275666140516,0.06450657109856102,0.3445279367678686,0.26419293515047165,0,9.981077452754274e-05
44,1.9285699375297711,2.2151131987571717,0.3389299671000332,0.18860017166028703,0.10958637386092858,0.06887187510191095,0.36778916844088094,0.27262609260166254,0,9.854650525381917e-05
45,1.9264816162378893,2.2132376194000245,0.33287303679793423,0.18223805565477402,0.10486878992822546,0.0652823493081507,0.35162459323564393,0.2653691370230713,0,9.727322346962102e-05
46,1.9224422120529672,2.2140697240829468,0.3307219296223659,0.18098669568256423,0.10226719066290443,0.06293479625322894,0.32356257364854324,0.26561812113473504,0,9.599227188346798e-05
47,1.9102301364359648,2.218879020214081,0.3368606230446112,0.1843510430289304,0.10569860760714968,0.06541791791369662,0.341253569794669,0.2651418269393249,0,9.47050012918837e-05
48,1.9073296254095824,2.2161545157432556,0.3373478823589129,0.18617936296611742,0.10599352665557064,0.06569080794974305,0.36465446584857336,0.26962187326277254,0,9.341276915494651e-05
49,1.9032728931178218,2.2219454407691956,0.33941623373496077,0.1874939625225033,0.10772801046085588,0.06696785834738762,0.36138277786026357,0.26852427561008435,0,9.211693816481227e-05
